Subject,Number,Name,Section Title,Fall,Spring,Summer
ACCY,449,Tax in Action   VITA,,False,True,False
ACCY,451,Advanced Income Tax Problems,,True,True,False
ACCY,499,Senior Research,,True,True,True
ACCY,500,"Accounting Measurement, Reporting, and Control",,True,True,False
ACCY,501,Accounting Analysis I,,True,False,True
ACCY,501,Accounting Analysis I,Accounting Analysis I A,True,True,False
ACCY,501,Accounting Analysis I,Accounting Analysis I B,True,True,False
ACCY,502,Accounting Analysis II,,True,False,False
ACCY,502,Accounting Analysis II,Accounting Analysis II A,True,True,False
ACCY,502,Accounting Analysis II,Accounting Analysis II B,True,True,False
ACCY,503,Managerial Accounting,,True,True,False
ACCY,503,Managerial Accounting,Managerial Accounting A,False,True,False
ACCY,503,Managerial Accounting,Managerial Accounting B,False,True,False
ACCY,504,Auditing,,True,False,False
ACCY,504,Auditing,Auditing A,True,False,False
ACCY,504,Auditing,Auditing B,True,False,False
ACCY,505,Federal Taxation,,True,False,False
ACCY,505,Federal Taxation,Federal Taxation A,True,False,False
ACCY,505,Federal Taxation,Federal Taxation B,True,False,False
ACCY,506,Advanced Topics in Accounting,,False,True,False
ACCY,506,Advanced Topics in Accounting,Advanced Financial Reporting,True,False,False
ACCY,507,Taxation of Business Entities,Taxation of Bus Entities A,False,True,False
ACCY,507,Taxation of Business Entities,Taxation of Bus Entities B,False,True,False
ACCY,510,Financial Reporting Standards,,True,True,False
ACCY,512,Data Analytics for Management Accounting,,True,True,False
ACCY,515,Auditing &amp; Assurance Standards,,True,True,False
ACCY,516,Professional Responsibility and Ethics for Accountants,,False,True,True
ACCY,517,Financial Statement Analysis and Valuation,,True,True,False
ACCY,518,Financial Statement Fraud,,True,True,False
ACCY,519,Governmental and Nonprofit Accounting,,False,True,False
ACCY,531,Financial Statement Analysis for MBAs,,True,False,False
ACCY,532,Accounting for Mergers &amp; Acquisitions and Other Complex Transactions,,True,False,False
ACCY,550,Multistate Taxation,,False,True,True
ACCY,551,Corporate Income Taxation,,True,True,False
ACCY,552,Partnership Income Taxation,,True,True,False
ACCY,554,International Taxation,,False,True,True
ACCY,556,Tax Research,,True,False,False
ACCY,569,Data Driven Decisions in Accounting,,True,False,False
ACCY,570,Data Analytics Foundations for Accountancy,,True,True,False
ACCY,571,Statistical Analyses for Accountancy,,True,True,False
ACCY,574,Risk Management and Innovation,,True,True,False
ACCY,575,Data Analytics Applications in Accountancy,,True,True,False
ACCY,576,Data Preparation for Accounting,,False,True,False
ACCY,577,Machine Learning for Accounting,,False,True,False
ACCY,578,Accounting Analytics Applications,ACCY Analytics Appl   A,True,False,False
ACCY,578,Accounting Analytics Applications,ACCY Analytics Appl   B,True,False,False
ACCY,578,Accounting Analytics Applications,ACCY Analytics Application  1,False,True,False
ACCY,578,Accounting Analytics Applications,ACCY Analytics Applications 1,False,True,False
ACCY,578,Accounting Analytics Applications,ACCY Analytics Applications 2,False,True,False
ACCY,590,Adv Prof Internship in ACCY,,True,True,True
ACCY,592,Introduction to Accounting Research,,True,False,False
ACCY,593,Special Research Problems,,True,True,True
ACCY,593,Special Research Problems,Adv Accy Theory & Practice,False,False,True
ACCY,593,Special Research Problems,Behavioral Begin,False,True,False
ACCY,593,Special Research Problems,Disruption & Emerging Tech,False,True,False
ACCY,593,Special Research Problems,Pre Forum Seminar,True,True,False
ACCY,593,Special Research Problems,Second Year PHD Summer Paper,False,True,False
ACCY,594,Doctoral Research Seminar,,False,True,False
ACCY,595,Models of Decision and Choice,,True,False,False
ACCY,599,Thesis Research,,True,True,True
ACCY,599,Thesis Research,Forum Seminar,False,True,False
ACES,101,Contemporary Issues in ACES,,True,False,False
ACES,102,Intro Sustainable Food Systems,,False,True,False
ACES,179,History of Ag in IL Since 1860,,True,False,False
ACES,199,Undergraduate Open Seminar,,True,True,True
ACES,199,Undergraduate Open Seminar,JBT Needs Assessment,True,False,False
ACES,200,ACES Transfer Orientation,,True,True,False
ACES,293,International Internship,,True,True,True
ACES,295,Undergrad Research or Thesis,,True,True,True
ACES,298,International Experience,,True,True,True
ACES,298,International Experience,Global Service Learning,True,False,False
ACES,298,International Experience,Italy,False,True,False
ACES,299,ACES Study Abroad,,True,True,True
ACES,396,Honors Study Abroad Retrospect,,True,True,False
ACES,399,Honors Seminar,,True,True,False
ACE,100,Introduction to Applied Microeconomics,,True,True,False
ACE,161,Microcomputer Applications,,True,True,True
ACE,199,Undergraduate Open Seminar,,True,False,False
ACE,199,Undergraduate Open Seminar,AI in Wealth Mgmt & Fin Planng,True,False,False
ACE,199,Undergraduate Open Seminar,Applied Statistics Lab,True,True,False
ACE,199,Undergraduate Open Seminar,Digital Mktg and Social Media,True,True,False
ACE,199,Undergraduate Open Seminar,Experiencing Agritourism,True,False,False
ACE,199,Undergraduate Open Seminar,Intro to Research in CEF,True,False,False
ACE,199,Undergraduate Open Seminar,Introduction to Sales,True,False,False
ACE,199,Undergraduate Open Seminar,Negotiation,True,True,False
ACE,199,Undergraduate Open Seminar,Sustainable Food Systems,False,True,False
ACE,199,Undergraduate Open Seminar,The Economics of Work & Family,True,False,False
ACE,199,Undergraduate Open Seminar,"Women, Money and Power",False,True,False
ACE,203,Introduction to Public Policy and Law,,True,False,False
ACE,210,Environmental Economics,,True,True,False
ACE,220,Introduction to Sales: Principles and Strategies,,True,False,False
ACE,221,Negotiation,,True,True,False
ACE,222,Agricultural Marketing,,True,False,False
ACE,231,Food and Agribusiness Mgt,,False,True,False
ACE,232,Farm Management,,False,True,False
ACE,240,Personal Financial Planning,,True,True,True
ACE,243,Money and Happiness,,True,False,False
ACE,251,The World Food Economy,,True,True,False
ACE,254,Economic Systems in Africa,,True,True,False
ACE,255,Economics of Food and Environmental Justice,,True,True,False
ACE,255,Economics of Food and Environmental Justice,Econ of Food and Envir Justice,True,False,False
ACE,262,Applied Statistical Methods and Data Analytics I,,True,True,False
ACE,264,Applied Statistical Methods &amp; Data Analytics 2,,True,True,False
ACE,270,Consumer Economics,,True,True,False
ACE,293,Off Campus Internship,,True,True,True
ACE,294,On Campus Internship,,True,True,True
ACE,295,Independent Study,,True,True,True
ACE,300,Intermediate Applied Microeconomics,,True,True,False
ACE,306,Food Law,,False,True,False
ACE,310,Natural Resource Economics,,True,True,False
ACE,321,Principles of Public Policy,,True,True,False
ACE,335,Food Marketing and Behavior,,True,True,False
ACE,341,Issues&amp;Careers in Applied Econ,Contemp Issue Comm Fin Plng,True,False,False
ACE,341,Issues&amp;Careers in Applied Econ,Contemporary Issues in Policy,True,True,False
ACE,341,Issues&amp;Careers in Applied Econ,Issues in AgAccy and FinAg,True,False,False
ACE,341,Issues&amp;Careers in Applied Econ,Issues in Agribus Mkts & Mgmt,True,False,False
ACE,341,Issues&amp;Careers in Applied Econ,Issues in Cons Econ & Finance,True,False,False
ACE,344,FinTech in Personal Finance and Financial Planning,,False,True,False
ACE,345,Finan Decision Indiv Sm Bus,,True,True,False
ACE,346,Tax Policy and Finan Planning,,True,False,False
ACE,349,Risk Management and Financial Planning Across the Life Cycle,,False,True,False
ACE,360,Spreadsheet Models and Applications,,True,True,False
ACE,396,Honors Research or Thesis,,True,True,True
ACE,398,Experiential Learning,Appl Tools for Mktg Plan Dev,True,False,False
ACE,398,Experiential Learning,Financial Planning Case Study,True,False,False
ACE,398,Seminar,Adv Spreadsheet Models&Applic,True,True,False
ACE,398,Seminar,Appl Tools for Mktg Plan Dev,True,True,False
ACE,398,Seminar,Financial Planning Case Study,True,True,False
ACE,398,Seminar,Financial Planning Review,False,True,False
ACE,398,Seminar,Financial Planning Technology,False,True,False
ACE,398,Seminar,"Rec, Sprt, & Tour Econ Croatia",False,True,False
ACE,398,Seminar,Risk Mngmt in Personal Fin Pla,True,True,False
ACE,398,Seminar,Sustainable Ag and Eco Tourism,True,False,False
ACE,398,Seminar,Values Based Fin Plan,True,False,False
ACE,403,Agricultural Law,,False,True,False
ACE,406,Environmental Law,,True,False,False
ACE,410,Energy Economics,,False,True,False
ACE,411,Environment and Development,,True,False,False
ACE,417,Climate Change Economics and Policy,,True,False,False
ACE,427,Commodity Price Analysis,,True,True,False
